website_name,website_address,website_city,website_state,website_zip,website_phone,website_care_offerings,source_url,crm_account_id,crm_name,crm_address,crm_city,crm_state,crm_zip,crm_phone,crm_parent_id,crm_parent_name,lifetime_revenue,outstanding_ar,match_score,name_score,street_score,zip_match,phone_match,city_match,state_match,second_best_score,score_gap,ambiguous,classification,proposed_action,evidence,decision,decision_note
Bellhaven of Kalamazoo,3222 Gull Rd,Kalamazoo,MI,49048,(231) 460-1964,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-kalamazoo,001NSHWKQD0YJLPQ20,Bellhaven of Kalamazoo,3222 Gull Road,Kalamazoo,MI,49048.0,(231) 460-1964,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,100.0,100.0,100.0,True,True,True,True,36.11,63.89,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=True; City=True; State=True,,
Bellhaven of Kettering,3313 Wilmington Pike,Kettering,OH,45429,(231) 269-5449,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-kettering,001WR41PYNWXCAE2X4,Kettering Care Centre,3313 Wilmington Pike,Kettering,OH,45429.0,(419) 600-2603,001FJZYHR7MLFMNPLL,Harborview Care Group (Parent Account),0,0,75.12,60.47,100.0,True,False,True,True,74.52,0.6,True,MATCH_ALREADY_NEEDS_REVIEW,NO_ACTION,Name=60.47; Street=100.0; ZIP=True; Phone=False; City=True; State=True,,
Bellhaven of Maplewood,210 Orchard Lane,Maplewood,OH,44280,(614) 250-9447,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-maplewood,001L3LGR6W69J8DYYV,Bellhaven of Maplewood,210 Orchard Ln,Maplewood,OH,44280.0,(614) 250-9447,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,100.0,100.0,100.0,True,True,True,True,54.6,45.4,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=True; City=True; State=True,,
Bellhaven of Marietta,805 Colegate Dr,Marietta,OH,45750,(614) 337-1967,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-marietta,0011F7EF443A4047A0,Bellhaven of Marietta,805 Colegate Dr,Marietta,OH,45750.0,(614) 337-1967,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,100.0,100.0,100.0,True,True,True,True,85.0,15.0,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=True; City=True; State=True,,
Bellhaven of Marion,199 Barks Rd W,Marion,OH,43302,(517) 847-7948,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-marion,0015L38R1Z5947ZZP7,Bellhaven of Marion,199 Barks Road West,Marion,OH,43302.0,(330) 314-3109,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),87000,0,85.0,100.0,100.0,True,False,True,True,35.69,49.31,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=False; City=True; State=True,,
Bellhaven of Meadville,341 Chestnut St,Meadville,PA,16335,(419) 848-5389,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-meadville,001KC1NG7EZDEKKA3T,Bellhaven of Meadville,341 Chestnut Street,Meadville,PA,16335.0,(419) 848-5389,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),87000,1000,100.0,100.0,100.0,True,True,True,True,34.77,65.23,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=True; City=True; State=True,,
Bellhaven of New Carlisle,875 Elm Street,New Carlisle,OH,45344,(614) 900-2177,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-new-carlisle,001AQGPZ5G5VRES536,Bellhaven of New Carlisle,875 Elm St,New Carlisle,OH,45344.0,(614) 900-2177,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),156000,0,100.0,100.0,100.0,True,True,True,True,37.01,62.99,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=True; City=True; State=True,,
Bellhaven of Owosso,1120 W Main St,Owosso,MI,48867,(734) 503-1363,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-owosso,001EGU7BMJ942ZTRE6,Bellhaven of Owosso,1120 W Main St,Owosso,MI,48867.0,(734) 503-1363,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,100.0,100.0,100.0,True,True,True,True,85.0,15.0,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=True; City=True; State=True,,
Bellhaven of Port Clinton,1420 Harbor Point Dr,Port Clinton,OH,43452,(330) 733-6423,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-port-clinton,001UELXDAKFRKB8932,Bellhaven of Port Clinton,1420 Harbor Point Dr,Port Clinton,OH,43452.0,(614) 512-8712,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,85.0,100.0,100.0,True,False,True,True,78.75,6.25,True,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=False; City=True; State=True,,
Bellhaven of Portsmouth,2222 Gallia St,Portsmouth,OH,45662,(330) 431-2495,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-portsmouth,001CF3LDWVRGL09P4F,Bellhaven of Portsmouth,2222 Gallia St,Portsmouth,OH,45626.0,(330) 431-2495,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,80.0,100.0,100.0,False,True,True,True,36.11,43.89,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=False; Phone=True; City=True; State=True,,
Bellhaven of Saline,980 W Michigan Ave,Saline,MI,48176,(614) 868-2766,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-saline,001MVVAPY6U5TVYRC4,Bellhaven of Saline,980 West Michigan Avenue,Saline,MI,48176.0,(614) 868-2766,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,100.0,100.0,100.0,True,True,True,True,49.78,50.22,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=True; City=True; State=True,,
Bellhaven of Tiffin,45 St Lawrence Dr,Tiffin,OH,44883,(260) 589-2589,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-tiffin,001AA5199D9F69C95B,Bellhaven of Tiffin,45 St Lawrence Dr,Tiffin,OH,44883.0,(260) 589-2589,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,100.0,100.0,100.0,True,True,True,True,85.0,15.0,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=True; City=True; State=True,,
Bellhaven of Wooster,2301 Cleveland Road,Wooster,OH,44691,(517) 712-7557,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-wooster,001W5G121A7SMRP58M,Bellhaven of Wooster,2301 Cleveland Rd,Wooster,OH,44691.0,(517) 712-7557,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),25000,0,100.0,100.0,100.0,True,True,True,True,36.75,63.25,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=True; City=True; State=True,,
Bellhaven of Zanesville,2680 Maple Ave,Zanesville,OH,43701,(814) 599-2533,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-zanesville,001H1JMVZWP46D5VUF,Bellhaven of Zanesville,2680 Maple Avenue,Zanesville,OH,43701.0,(517) 817-8191,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,85.0,100.0,100.0,True,False,True,True,38.71,46.29,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=False; City=True; State=True,,
Bellhaven Rehabilitation & Nursing of Grove City,3985 Broadway,Grove City,OH,43123,(614) 555-7729,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-rehabilitation-nursing-of-grove-city,001TZCSTBZFM6K5BGN,Bellhaven Rehab and Nursing of Grove City,3985 Broadway,Grove City,OH,43123.0,(614) 555-7729,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,100.0,100.0,100.0,True,True,True,True,35.69,64.31,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=True; City=True; State=True,,
Bellhaven Shores of Erie,4930 W Lake Rd,Erie,PA,16505,(614) 792-9343,"Assisted Living, Memory Support",https://analyst-assessment-production.up.railway.app/communities/bellhaven-shores-of-erie,001CVBBCSDM7YHN220,Bellhaven Shores of Erie,4930 W Lake Rd,Erie,PA,16505.0,(419) 495-1741,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,85.0,100.0,100.0,True,False,True,True,79.39,5.61,True,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=False; City=True; State=True,,
Bellhaven Terrace of Akron,55 Ridgewood Avenue,Akron,OH,44313,(260) 899-4605,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-terrace-of-akron,0019Y4J61ZBG4R00CD,Bellhaven Terrace of Akron,55 Ridgewood Ave,Akron,OH,44313.0,(260) 899-4605,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),101000,9000,100.0,100.0,100.0,True,True,True,True,34.31,65.69,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=True; City=True; State=True,,
Bellhaven Willow Creek,8060 Willow Creek Ln,Portage,MI,49024,(419) 394-5494,Memory Support,https://analyst-assessment-production.up.railway.app/communities/bellhaven-willow-creek,0017MN2JYAJBDS8WQZ,Bellhaven Willow Creek,8060 Willow Creek Lane,Portage,MI,49024.0,(216) 898-7925,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,85.0,100.0,100.0,True,False,True,True,30.12,54.88,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=False; City=True; State=True,,
Bellhaven Woods of Toledo,4850 NW Sylvania Ave,Toledo,OH,43623,(734) 388-8242,Memory Support,https://analyst-assessment-production.up.railway.app/communities/bellhaven-woods-of-toledo,0014DHACE6WQU3RMM5,Bellhaven Woods of Toledo,4850 Northwest Sylvania Avenue,Toledo,OH,43623.0,(734) 388-8242,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),54000,0,95.53,100.0,85.11,True,True,True,True,36.72,58.81,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=85.11; ZIP=True; Phone=True; City=True; State=True,,
The Arbors at Bellhaven - Dayton,2210 Salem Ave,Dayton,OH,45406,(260) 254-7592,Memory Support,https://analyst-assessment-production.up.railway.app/communities/the-arbors-at-bellhaven-dayton,0010KJFP601YNTZVDA,Arbors at Bellhaven Dayton,2210 Salem Ave,Dayton,OH,45406.0,(216) 659-9837,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),0,0,85.0,100.0,100.0,True,False,True,True,38.58,46.42,False,MATCH_CORRECT,NO_ACTION,Name=100.0; Street=100.0; ZIP=True; Phone=False; City=True; State=True,,
